,Address,Bedrooms,Bathrooms,Rent,Total Area,Price per sqft,Type of house,Transit Score
78,"730 W Couch Pl Unit 904.391299 Chicago,IL60661–Fulton Market",1.0,1.0,2266,522.0,4.340996168582375,Single Family,91
80,"801 S Wells St Unit 511 Chicago,IL60607–South Loop",2.0,2.0,2400,1000.0,2.4,Single Family,100
81,"The Aberdeen West Loop 20 N Aberdeen St,Chicago,IL60607–West Loop",3.0,2.0,2815,835.0,3.37125748502994,Other,80
82,"Aberdeen East 171 N Aberdeen St,Chicago,IL60607–West Loop",2.0,2.0,2477,810.0,3.0580246913580247,Single Family,78
85,"842 W Adams St Unit 3 Chicago,IL60607–West Loop",2.0,1.5,2495,800.0,3.11875,Single Family,88
86,"K2 Apartments 365 N Halsted St,Chicago,IL60661–West Loop",3.0,3.0,1928,481.0,4.008316008316008,Other,86
89,"719 S Loomis St Unit 1 Chicago,IL60607–Little Italy",3.0,1.0,2100,1400.0,1.5,Other,70
91,"354 N Union Ave Unit Deluxe Two Bedroom Suite #3.1341714 Chicago,IL60661–West Loop",2.0,2.0,16500,1000.0,16.5,Single Family,86
92,"1364 W Randolph St Unit 5 Chicago,IL60607–Fulton Market",1.0,1.0,2118,562.0,3.768683274021353,Single Family,73
94,"939 W Washington Blvd Unit B-W405.482987 Chicago,IL60607–Fulton Market",1.0,1.0,3611,715.0,5.05034965034965,Single Family,87
95,"334 S Wells St Unit 1303 Chicago,IL60606–Chicago Loop",1.0,1.0,1995,658.0,3.0319148936170213,Single Family,100
96,"235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop",2.0,2.0,2400,970.0,2.4742268041237114,Single Family,100
97,"1000 W Washington Blvd Unit 301 Chicago,IL60607–Fulton Market",2.0,2.0,6400,2300.0,2.782608695652174,Single Family,82
98,"1500 W Monroe St Unit 423 Chicago,IL60607–West Loop",2.0,2.0,2850,1355.0,2.103321033210332,Single Family,75
99,"933 W Van Buren St Unit 711 Chicago,IL60607–West Loop",2.0,2.0,3000,1250.0,2.4,Single Family,83
101,"X Chicago 710 W 14th St,Chicago,IL60607–University Village",2.0,2.5,1086,319.0,3.404388714733542,Single Family,65
102,"773 W Adams St 773 W Adams St,Chicago,IL60661–West Loop",2.0,2.0,2560,596.0,4.295302013422819,Single Family,92
103,"722 S Wells St Unit 1A-2417 Chicago,IL60607–South Loop",1.0,1.0,1975,517.0,3.820116054158608,Single Family,100
105,"23 N Racine Ave Unit 434 Chicago,IL60607–Fulton Market",3.0,2.0,5700,2500.0,2.28,Other,76
106,"1040 W Adams St Unit 1 Chicago,IL60607–West Loop",1.0,1.0,2400,900.0,2.6666666666666665,Single Family,81
107,"180 N Ada St Unit FL6-ID725 Chicago,IL60607–Fulton Market",1.0,1.0,3790,710.0,5.338028169014085,Single Family,72
108,"111 S Morgan St Unit 619 Chicago,IL60607–West Loop",1.0,1.0,2450,800.0,3.0625,Single Family,86
110,"1140 N Wells St Unit Executive One Bedroom Suite #4.1341675 Chicago,IL60610–South Loop",1.0,1.0,12600,750.0,16.8,Single Family,97
112,"355 N Halsted St 355 N Halsted St,Chicago,IL60661–West Loop",3.0,2.0,4139,1035.0,3.9990338164251207,Other,85
113,"Monroe Aberdeen Place 1050-1060 W Monroe St,Chicago,IL60607–West Loop",3.0,2.0,2749,765.0,3.593464052287582,Other,81
114,"500 S Clinton St 500 S Clinton St,Chicago,IL60607–South Loop",2.0,1.5,1950,100.0,19.5,Single Family,98
115,"1035 W Van Buren St Unit FL11-ID754 Chicago,IL60607–West Loop",1.0,1.0,2930,739.0,3.964817320703653,Single Family,85
117,"720 N Milwaukee Ave Unit 2105 Chicago,IL60642–University Village",3.0,3.0,3875,1152.0,3.3637152777777777,Other,78
118,"123 S Green St Unit 1202B Chicago,IL60607–Fulton Market",1.0,1.0,2595,800.0,3.24375,Single Family,90
119,"1162 Hubbard W St Unit 304 Chicago,IL60642–West Loop",3.0,2.0,3500,1700.0,2.0588235294117645,Other,76
120,"1242 W Jackson Blvd Unit 03W Chicago,IL60607–West Loop",2.0,2.0,4500,1664.0,2.704326923076923,Single Family,75
121,"235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop",2.0,2.0,1950,650.0,3.0,Single Family,100
122,"611 S Wells St Unit 1 Chicago,IL60607–South Loop",1.0,1.0,2100,1020.0,2.0588235294117645,Single Family,100
123,"1135 W Van Buren St Chicago,IL60607–West Loop",1.0,1.0,2395,685.0,3.4963503649635035,Single Family,78
124,"1240 W Monroe St Unit 11 Chicago,IL60607–Fulton Market",3.0,2.0,4300,1655.0,2.598187311178248,Other,77
125,"939 W Washington Blvd Unit FL5-ID190 Chicago,IL60607–Fulton Market",1.0,1.0,3020,482.0,6.265560165975104,Single Family,87
126,"648 W 16th St Chicago,IL60616–Pilsen",3.0,2.5,3900,1900.0,2.0526315789473686,Other,65
128,"1035 W Van Buren St Unit FL14-ID396 Chicago,IL60607–West Loop",1.0,1.0,2540,499.0,5.090180360721443,Single Family,85
130,"1342 W Hubbard St Unit 1F Chicago,IL60642–West Loop",3.0,2.0,2700,1200.0,2.25,Other,72
131,"808 W University Ln Unit 2B Chicago,IL60608–University Village",2.0,2.0,2300,1250.0,1.84,Single Family,64
132,"330 S Wells St Unit FL14-ID201 Chicago,IL60606–Chicago Loop",1.0,1.0,2890,604.0,4.78476821192053,Single Family,100
133,"1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy",2.0,1.0,2100,900.0,2.333333333333333,Single Family,71
134,"625 W Jackson Blvd Unit 803 Chicago,IL60661–West Loop",1.0,1.0,2200,850.0,2.588235294117647,Single Family,98
135,"235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop",1.0,1.0,2000,700.0,2.857142857142857,Single Family,100
136,"125 S Green St Unit 804a Chicago,IL60607–West Loop",1.0,1.0,2500,900.0,2.7777777777777777,Single Family,90
137,"834 W Monroe St Unit FL5-ID772 Chicago,IL60607–West Loop",1.0,1.0,2980,546.0,5.457875457875458,Single Family,86
138,"939 W Washington Blvd Unit FL7-ID225 Chicago,IL60607–Fulton Market",1.0,1.0,3260,625.0,5.216,Single Family,87
140,"901 W Madison St Unit 00404 Chicago,IL60607–West Loop",1.0,1.5,2500,900.0,2.7777777777777777,Single Family,86
141,"625 W Jackson Blvd Unit 803 Chicago,IL60661–West Loop",1.0,1.0,2200,850.0,2.588235294117647,Single Family,98
143,"The Van Buren 808 W Van Buren St,Chicago,IL60607–West Loop",2.0,2.0,2165,551.0,3.9292196007259528,Single Family,88
144,"1140 N Wells St Unit Deluxe One Bedroom Suite #4.1341668 Chicago,IL60610–South Loop",1.0,1.0,12000,700.0,17.142857142857142,Single Family,97
